Variable,VIF
const,1704.567470664663
feature_3,105.57414356928491
feature_7,5.0298771529929525
feature_16,5.447858479790342
feature_17,49.71258557668171
feature_23,53.89173551288903
feature_43,5.079181465599695
feature_58,5.5351734021106465
feature_67,5.859753907184723
feature_82,5.7268771207961295
feature_83,5.873673897307032
feature_84,5.35433448537356
feature_101,288.5137883618907
feature_104,5.268859053123809
feature_124,5.2005809466199295
feature_135,17.061906712482074
feature_153,5.404109034796794
feature_160,23.28466993696412
feature_164,6.301351743051568
feature_167,6.742800772181344
feature_207,5.0097196114517075
feature_263,6.006576229874701
feature_269,14.336928380701746
feature_270,11.470218096882036
feature_277,5.295257185840882
feature_278,12.225741944891944
feature_330,89.9521028344897
feature_341,30.810684640822654
feature_354,5.3342108743197025
feature_358,8.750420357064641
feature_366,7.976148169857685
feature_372,31.248755052763425
feature_396,27.31761399954111
feature_414,5.314550682004258
